keeper,duplicate,distance
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile176-2023-02-08-0min-1200x720.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2022-10-07 05.48.16.mov,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile176-2023-02-08-0min-1200x720.mov,/var/lib/plexmediaserver/Library/videos/video_1200x720_74.7M_0min58sec_3.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile167-2019-05-18-0min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1080_53.6M_0min20sec_3.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile171-2021-12-24-14min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2021/Dec/video_1920x1080_851.0M_14min_2.mp4,7
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile171-2021-12-24-14min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/video_1280x720_336.3M_14min.mp4,9
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile171-2021-12-24-14min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1080_851.0M_14min.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile171-2021-12-24-14min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1080_851.0M_14min_2.mp4,7
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile168-2019-06-23-0min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1080_41.6M_0min15sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile169-2019-06-23-0min-1920x1080.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1080_94.2M_0min33sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile178-2023-08-06-2min-1280x720.mov,/var/lib/plexmediaserver/Library/videos/video_1280x720_38.3M_2min10sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile174-2022-05-02-2min-3840x2160.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_2.1G_2min40sec_4.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2022/Apr/video_3840x2160_2.3G_4min10sec_3.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile173-2022-04-07-3min-3840x2160.mov,4
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2022/Apr/video_3840x2160_2.3G_4min10sec_3.mp4,/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2022/Apr/video_3840x2160_2.1G_3min41sec.mp4,4
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2022/Apr/video_3840x2160_2.3G_4min10sec_3.mp4,/var/lib/plexmediaserver/Library/videos/video_1280x720_88.8M_3min41sec_3.mp4,5
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2022/Apr/video_3840x2160_2.3G_4min10sec_3.mp4,/var/lib/plexmediaserver/Library/videos/video_3840x2160_2.3G_4min10sec_3.mp4,0
/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2022/Apr/video_3840x2160_2.3G_4min10sec_3.mp4,/var/lib/plexmediaserver/Library/videos/video_3840x2160_2.1G_3min41sec.mp4,4
/var/lib/plexmediaserver/Library/videos/video_1280x720_7.0M_0min16sec.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile170-2021-12-24-0min-3840x2160.mov,6
/var/lib/plexmediaserver/Library/videos/video_1280x720_7.0M_0min16sec.mp4,/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2021/Dec/video_3840x2160_215.2M_0min16sec.mp4,6
/var/lib/plexmediaserver/Library/videos/video_1280x720_7.0M_0min16sec.mp4,/var/lib/plexmediaserver/Library/videos/video_3840x2160_215.2M_0min16sec.mp4,6
/var/lib/plexmediaserver/Library/videos/video_1280x720_160.6M_6min.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile179-2023-10-21-6min-1920x1080.mov,3
/var/lib/plexmediaserver/Library/videos/video_1280x720_160.6M_6min.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-10-20 21.02.38.mov,3
/var/lib/plexmediaserver/Library/videos/video_1280x720_160.6M_6min.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_851.9M_6min_2.mp4,3
/var/lib/plexmediaserver/Library/videos/Dropbox/Backup/Video/videofile177-2023-06-01-0min-3840x2160.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_51.3M_0min11sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2021-02-08 14.00.06.mov,/var/lib/plexmediaserver/Library/videos/azurebackup/immich-app/library/library/admin/2021/Feb/video_1920x1440_5.5M_0min2sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2021-02-08 14.00.06.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_5.5M_0min2sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-06-10 21.06.08.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-06-10 21.06.09.mov,8
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2022-10-11 17.01.35.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_5.6M_0min2sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-06-15 11.27.30.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_5.7M_0min2sec.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.8M_0min2sec.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-09-24 11.43.28.mov,1
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-01-22 20.20.18-1.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-01-22 20.20.18.mov,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-12-16 02.42.29.mov,/var/lib/plexmediaserver/Library/videos/video_1280x720_10.0M_0min24sec.mp4,1
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-12-16 02.42.29.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_151.1M_0min24sec_3.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-12-22 00.42.40.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_38.8M_0min6sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2023-12-16 02.42.11.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_83.2M_0min10sec.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1280x720_50.4M_2min5sec.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-01-18 12.57.54.mov,1
/var/lib/plexmediaserver/Library/videos/video_1280x720_50.4M_2min5sec.mp4,/var/lib/plexmediaserver/Library/videos/video_3840x2160_784.2M_2min5sec_3.mp4,1
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-01-24 00.14.21.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_120.0M_0min20sec.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1280x720_115.2M_4min49sec_2.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-01-29 06.15.44.mov,0
/var/lib/plexmediaserver/Library/videos/video_1280x720_115.2M_4min49sec_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_314.1M_4min49sec.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1280x720_159.4M_6min_2.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-01-29 06.20.45.mov,0
/var/lib/plexmediaserver/Library/videos/video_1280x720_159.4M_6min_2.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1080_857.0M_6min.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-07 21.57.14.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-07 21.57.13.mov,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-04 20.38.19.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_786.1M_0min8sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-22 18.17.35.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_5.5M_0min2sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-23 13.42.31.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-23 13.42.32.mov,1
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-03-17 09.08.14.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_225.1M_0min36sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-02 12.21.37.mov,/var/lib/plexmediaserver/Library/videos/video_1280x720_9.6M_0min31sec_4.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.9M_0min7sec.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-04 20.04.40.mov,5
/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.9M_0min7sec.mp4,/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.1M_0min7sec.mp4,5
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-04 19.01.56.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_232.9M_0min2sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-04 19.02.09.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_408.7M_0min4sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-04 19.02.29.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_957.5M_0min10sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-20 20.08.02.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.2M_0min2sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-24 13.36.13.mov,/var/lib/plexmediaserver/Library/videos/video_2484x1398_37.0M_0min15sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-30 04.24.27.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_74.2M_0min33sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-30 04.23.35.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_27.0M_0min4sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-30 04.59.29.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_176.8M_0min2sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-30 04.58.55.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_2.5G_0min30sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-10-06 10.20.19.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-06-10 06.36.50.mov,8
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-10-06 10.20.19.mov,/var/lib/plexmediaserver/Library/videos/video_1280x720_10.5M_3min29sec.mp4,8
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-10-06 10.20.19.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_94.6M_9min_2.mp4,8
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-05-30 04.57.16.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_27.9M_0min4sec.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.6M_0min2sec.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-06-13 18.27.48.mov,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-06-17 20.18.26.mov,/var/lib/plexmediaserver/Library/videos/video_1920x1440_6.2M_0min2sec_2.mp4,1
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-06-11 07.42.10.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_2.3G_5min36sec.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1080x1920_19.4M_0min52sec_4.mp4,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-07-23 09.09.13.mov,4
/var/lib/plexmediaserver/Library/videos/video_1080x1920_19.4M_0min52sec_4.mp4,/var/lib/plexmediaserver/Library/videos/video_1080x1920_42.3M_0min52sec.mp4,4
/var/lib/plexmediaserver/Library/videos/video_1080x1920_19.4M_0min52sec_4.mp4,/var/lib/plexmediaserver/Library/videos/video_1080x1920_72.9M_0min52sec_3.mp4,4
/var/lib/plexmediaserver/Library/videos/video_1080x1920_19.4M_0min52sec_4.mp4,/var/lib/plexmediaserver/Library/videos/video_404x720_21.1M_0min52sec_2.mp4,0
/var/lib/plexmediaserver/Library/videos/video_1080x1920_19.4M_0min52sec_4.mp4,/var/lib/plexmediaserver/Library/videos/video_720x1280_21.7M_0min52sec_3.mp4,4
/var/lib/plexmediaserver/Library/videos/IMG_0891.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-09-20 02.21.11.mov,6
/var/lib/plexmediaserver/Library/videos/IMG_0892.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-09-20 02.22.40.mov,4
/var/lib/plexmediaserver/Library/videos/IMG_0894.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-09-20 02.25.06.mov,7
/var/lib/plexmediaserver/Library/videos/IMG_0893.mov,/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-09-20 02.24.43.mov,7
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-08-15 17.10.04.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_376.1M_1min0sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-08-26 06.14.02.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_507.5M_2min39sec.mp4,0
/var/lib/plexmediaserver/Library/videos/Dropbox/Camera Uploads/2024-08-26 06.14.02.mov,/var/lib/plexmediaserver/Library/videos/video_3840x2160_896.2M_2min39sec.mp4,4
